;response;response_exp;cum.response;cum.response_exp;point.pred;point.pred_exp;point.pred.lower;point.pred.lower_exp;point.pred.upper;point.pred.upper_exp;cum.pred;cum.pred_exp;cum.pred.lower;cum.pred.lower_exp;cum.pred.upper;cum.pred.upper_exp;point.effect;point.effect.lower;point.effect.upper;cum.effect;cum.effect.lower;cum.effect.upper
74;3,526360525;34;297,4036392;4186;3,869723431;47,92912853;3,549051543;34,78031421;4,200325761;66,70805839;297,4036392;4141;297,4036392;2960;297,4036392;5796;-0,343362906;-0,673965236;-0,022691019;0;0;0
75;3,583518938;36;300,9871581;4222;3,775889718;43,63631505;3,406129426;30,1483268;4,1090567;60,88925361;300,9871581;4185;300,9871581;2990;300,9871581;5857;-0,192370779;-0,525537761;0,177389513;0;0;0
76;4,143134726;63;305,1302928;4285;3,923308233;50,56745732;3,603668621;36,73274609;4,243304404;69,63758279;305,1302928;4236;305,1302928;3026;305,1302928;5926;0,219826493;-0,100169678;0,539466105;0;0;0
77;4,060443011;58;309,1907358;4343;4,017352834;55,55385072;3,720010131;41,26481216;4,343554293;76,98066554;309,1907358;4291;309,1907358;3068;309,1907358;6003;0,043090177;-0,283111283;0,34043288;0;0;0
78;3,871201011;48;313,0619369;4391;4,035396597;56,56534943;3,694832547;40,23883389;4,377931939;79,67309409;313,0619369;4348;313,0619369;3108;313,0619369;6083;-0,164195586;-0,506730928;0,176368464;0;0;0
79;3,970291914;53;317,0322288;4444;3,953952599;52,14105276;3,636066695;37,9423042;4,28695716;72,74478065;317,0322288;4400;317,0322288;3146;317,0322288;6156;0,016339314;-0,316665246;0,334225218;0;0;0
80;4,007333185;55;321,0395619;4499;4,070067037;58,56088818;3,750235239;42,53108581;4,386783776;80,38147798;321,0395619;4458;321,0395619;3188;321,0395619;6236;-0,062733851;-0,379450591;0,257097946;0;0;0
81;4,127134385;62;325,1666963;4561;3,984591436;53,76331922;3,688614764;39,98941381;4,284372836;72,55702727;325,1666963;4512;325,1666963;3228;325,1666963;6309;0,142542949;-0,157238451;0,438519621;0;0;0
82;4,060443011;58;329,2271393;4619;4,005477567;54,89803564;3,670146467;39,2576554;4,33746645;76,51344295;329,2271393;4567;329,2271393;3268;329,2271393;6385;0,054965443;-0,27702344;0,390296543;0;0;0
83;3,828641396;46;333,0557807;4665;3,988887167;53,99476875;3,661896274;38,93510454;4,359203431;78,19482204;333,0557807;4621;333,0557807;3307;333,0557807;6463;-0,16024577;-0,530562035;0,166745122;0;0;0
